Track.Name,Artist.Name,Genre,Danceability,Loudness..dB..,Liveness,Valence.,Length.,Acousticness..,Speechiness.,Popularity
Takeaway,The Chainsmokers,edm,29,-8,10,36,210,12,4,84
7 rings,Ariana Grande,dance pop,78,-11,9,33,179,59,33,89
0.958333333,Maluma,reggaeton,78,-5,9,68,176,22,28,89
The London (feat. J. Cole & Travis Scott),Young Thug,atl hip hop,80,-7,13,18,200,2,15,89
Never Really Over,Katy Perry,dance pop,77,-5,32,39,224,19,6,89
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,big room,66,-7,14,32,164,18,6,89
Otro Trago,Sech,panamanian pop,75,-5,11,62,226,14,34,91
Antisocial (with Travis Scott),Ed Sheeran,pop,72,-5,36,91,162,13,5,87
Sucker,Jonas Brothers,boy band,84,-5,11,95,181,4,6,80
"fuck, i'm lonely (with Anne-Marie) - from 13 Reasons Why: Season 3",Lauv,dance pop,81,-6,6,68,199,48,7,78
Higher Love,Kygo,edm,69,-7,10,40,228,2,3,88
You Need To Calm Down,Taylor Swift,dance pop,77,-6,7,73,171,1,5,90
Shallow,Lady Gaga,dance pop,57,-6,23,32,216,37,3,87
Talk,Khalid,pop,90,-9,6,35,198,5,13,84
Con Altura,ROSALÍA,r&b en espanol,88,-4,5,75,162,39,12,88
One Thing Right,Marshmello,brostep,66,-2,58,44,182,7,5,88
Te Robaré,Nicky Jam,latin,67,-4,8,80,202,24,6,88
Happier,Marshmello,brostep,69,-3,17,67,214,19,5,88
Call You Mine,The Chainsmokers,edm,59,-6,41,50,218,23,3,88
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,75,-6,7,61,206,21,12,82
